469
10
1908
1450
0 1 1 23 62  7 (D 0,1,1) (S 42,8,6) (S 41,6,7) (S 29,3,11) (S 23,11,2) (S 22,2,9) (D 0,1,1)
0 1 2 27 55  7 (D 0,1,1) (S 39,5,10) (S 49,10,9) (S 50,9,11) (S 40,11,5) (S 10,5,1) (D 0,1,1)
0 1 3 25 63  9 (D 0,1,1) (S 48,8,9) (S 35,4,10) (S 46,10,7) (S 45,7,9) (S 34,9,4) (S 30,4,5) (S 25,5,3) (D 0,1,1)
0 1 4 23 38  6 (D 0,1,1) (S 6,10,10) (S 28,10,3) (S 17,3,2) (S 7,2,1) (D 0,1,1)
0 1 5 26 49  8 (D 0,1,1) (S 15,1,10) (S 44,10,6) (S 43,6,9) (S 32,4,7) (S 26,7,3) (S 8,3,1) (D 0,1,1)
0 1 6 15 25  5 (D 0,1,1) (S 13,1,8) (S 33,8,4) (S 9,4,1) (D 0,1,1)
0 1 7 27 51  8 (D 0,1,1) (S 47,7,11) (S 36,11,4) (S 31,4,6) (S 4,6,6) (S 24,3,4) (S 14,1,9) (D 0,1,1)
0 1 8 25 48  7 (D 0,1,1) (S 38,8,5) (S 37,5,7) (S 27,3,9) (S 2,9,9) (S 12,1,7) (D 0,1,1)
0 1 9 18 31  7 (D 0,1,1) (S 3,8,8) (S 21,8,2) (S 20,2,7) (S 16,1,11) (S 5,11,11) (D 0,1,1)
0 1 10 26 47  6 (D 0,1,1) (S 1,5,5) (S 19,5,2) (S 18,2,4) (S 11,1,6) (D 0,1,1)
