63418
29
136336
35179
0 1 1 1747 2521  10 (D 0,1,1) (S 170,85,98) (S 183,98,99) (S 186,99,98) (S 184,98,111) (S 51,111,111) (S 43,99,99) (S 185,99,86) (S 37,86,86) (D 0,1,1)
0 1 2 1752 2586  11 (D 0,1,1) (S 52,113,113) (S 203,113,126) (S 61,124,124) (S 212,124,111) (S 201,111,112) (S 202,112,99) (S 187,99,100) (S 171,87,86) (S 158,73,61) (D 0,1,1)
0 1 3 1748 2541  11 (D 0,1,1) (S 182,98,97) (S 181,97,110) (S 70,110,111) (S 50,110,110) (S 199,109,110) (S 200,110,123) (S 211,122,123) (S 210,121,120) (S 198,107,106) (D 0,1,1)
0 1 4 1734 2347  7 (D 0,1,1) (S 39,89,89) (S 174,89,102) (S 54,115,115) (S 44,102,102) (S 172,88,76) (D 0,1,1)
0 1 5 1721 2291  8 (D 0,1,1) (S 111,40,51) (S 127,51,61) (S 25,61,61) (S 36,84,84) (S 33,73,73) (S 31,71,71) (D 0,1,1)
0 1 6 1755 2317  10 (D 0,1,1) (S 46,105,105) (S 56,118,118) (S 57,119,119) (S 207,119,106) (S 196,106,93) (S 176,93,106) (S 47,106,106) (S 194,105,92) (D 0,1,1)
0 1 7 1744 2415  13 (D 0,1,1) (S 192,104,105) (S 195,105,104) (S 193,104,117) (S 206,117,116) (S 205,116,103) (S 190,103,102) (S 189,102,115) (S 204,115,102) (S 188,102,101) (S 53,114,114) (S 68,103,104) (D 0,1,1)
0 1 8 1691 2397  9 (D 0,1,1) (S 129,52,62) (S 146,62,74) (S 180,97,96) (S 67,96,109) (S 69,109,122) (S 209,121,108) (S 153,69,59) (D 0,1,1)
0 1 9 1756 2355  9 (D 0,1,1) (S 178,94,107) (S 49,109,109) (S 60,122,122) (S 59,121,121) (S 208,120,107) (S 197,107,94) (S 154,69,68) (D 0,1,1)
0 1 10 1722 2244  9 (D 0,1,1) (S 191,104,91) (S 55,117,117) (S 58,120,120) (S 48,107,107) (S 166,81,94) (S 165,81,70) (S 29,69,69) (D 0,1,1)
0 1 11 1704 2263  9 (D 0,1,1) (S 152,68,79) (S 35,82,82) (S 66,82,95) (S 179,95,94) (S 177,94,93) (S 42,93,93) (S 41,92,92) (D 0,1,1)
0 1 12 1735 2351  11 (D 0,1,1) (S 105,34,42) (S 21,53,53) (S 131,53,63) (S 130,53,52) (S 26,62,62) (S 145,62,61) (S 144,61,60) (S 142,60,50) (S 122,49,39) (D 0,1,1)
0 1 13 1719 2408  12 (D 0,1,1) (S 126,50,51) (S 65,75,87) (S 34,75,75) (S 161,75,63) (S 147,63,62) (S 160,74,62) (S 169,85,84) (S 168,84,73) (S 159,73,72) (S 139,58,57) (D 0,1,1)
0 1 14 1744 2258  9 (D 0,1,1) (S 75,7,8) (S 77,10,11) (S 78,11,12) (S 79,12,11) (S 104,33,32) (S 92,22,21) (S 100,31,20) (D 0,1,1)
0 1 15 1726 2180  9 (D 0,1,1) (S 5,20,20) (S 90,20,8) (S 62,11,33) (S 12,33,33) (S 63,22,32) (S 125,50,31) (S 102,31,30) (D 0,1,1)
0 1 16 1605 2158  11 (D 0,1,1) (S 22,54,54) (S 27,65,65) (S 149,65,55) (S 148,64,65) (S 150,65,66) (S 151,66,67) (S 138,57,56) (S 136,56,66) (S 137,57,46) (D 0,1,1)
0 1 17 1698 2265  10 (D 0,1,1) (S 123,49,50) (S 143,60,72) (S 32,72,72) (S 156,71,82) (S 167,83,72) (S 157,72,71) (S 155,71,70) (S 18,47,47) (D 0,1,1)
